title,authors,journal,date,cites number,abstract,significant relationship,conclusion,suggestion
"Vegetation type alters water and nitrogen budgets in a controlled, replicated experiment on residential-sized rain gardens planted with prairie, shrub, and turfgrass","Nocco M.A., Rouse S.E., Balster N.J.",Urban Ecosystems,2016-12-01,0,"Copyright, 2016, Springer Science+Business Media New York (outside the USA). Vegetation type alters surface hydrology and nitrogen (N) cycling by partitioning evapotranspiration (ET) and drainage, but has not been fully utilized for this purpose in the design of urban rain gardens. Replicated treatments of three vegetation types (prairie, shrub, and turfgrass) commonly planted in rain gardens, as well as bare soil (control), were evaluated 1 year after establishment in 12, free-drainage bioretention cells designed to specifications for residential rain gardens in the Midwestern United States. Water and N budgets were calculated to assess differences in ET, drainage, soil moisture, and N transport following three stormwater applications in July, August, and October of 2006. Evaporative demand was also estimated as potential or reference ET during the study period using Hamon, Priestley-Taylor, and FAO Penman-Monteith models. Results show that after 1 year of establishment, vegetation type changed the water budgets of rain gardens thus altering their provisioning of ecosystem services via observed tradeoffs between daytime evaporative cooling (ET), stormwater storage, N-load reduction, soil and plant N retention, and groundwater recharge (drainage). Vegetation effects on hydrology and N transport were most significant when evaporative demand was high during the middle of the growing season. Observed changes in ET, drainage, soil moisture, and N transport support the incorporation of different vegetation types into conceptual and numerical models of rain gardens to assess ecological outcomes and tradeoffs at a variety of spatiotemporal scales.", Vegetation effects on hydrology and N transport were most significant when evaporative demand was high during the middle of the growing season,None,None
"In situ air temperature and humidity measurements over diverse land covers in Greenbelt, Maryland, November 2013-November 2015","Carroll M.L., Brown M.E., Wooten M.R., Donham J.E., Hubbard A.B., Ridenhour W.B.",Earth System Science Data,2016-09-19,0,"Copyright, Author(s) 2016. As our climate changes through time there is an ever-increasing need to quantify how and where it is changing so that mitigation strategies can be implemented. Urban areas have a disproportionate amount of warming due, in part, to the conductive properties of concrete and asphalt surfaces, surface albedo, heat capacity, lack of water, etc. that make up an urban environment. The NASA Climate Adaptation Science Investigation working group at Goddard Space Flight Center in Greenbelt, MD, conducted a study to collect temperature and humidity data at 15min intervals from 12 sites at the center. These sites represent the major surface types at the center: asphalt, building roof, grass field, forest, and rain garden. The data show a strong distinction in the thermal properties of these surfaces at the center and the difference between the average values for the center compared to a local meteorological station. The data have been submitted to Oak Ridge National Laboratory Distributed Active Archive Center (ORNL-DAAC) for archival in comma separated value (csv) file format (Carroll et al., 2016) and can be found by following this link: &lt;a hrefCombining double low line""http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds-idCombining double low line1319"" targetCombining double low line""-blank""&gt;http://daac.ornl.gov/cgi-bin/dsviewer.pl?ds-idCombining double low line1319.",None,None,None
"Urban stormwater characterization, control, and treatment","Vogel J.R., Moore T.L.",Water Environment Research,2016-01-01,0,"Copyright, 2016 Water Environment Federation. The following review presents a synthesis of 181 journal articles published during 2015 that represent progress toward better characterizing, controlling, and treating urban stormwater runoff. The review is structured by general topical areas related to (1) stormwater quality and quantity characterization; (2) engineered stormwater control and treatment practices, including erosion and sediment control, stormwater ponds, constructed stormwater wetlands, bioretention, permeable pavement, greenroofs, and rainwater harvesting systems; and (3) watershed-scale modeling and optimization of stormwater control and treatment practices. Common research themes emerging from this collection of studies include potential to enhance hydrologic and pollutant treatment performance of stormwater practices via media amendments and the use of innovative outlet control structures, as well as development of a more mechanistic understanding of hydrologic and water-quality functions to inform modeling and performance predictions. These studies serve to expand the field's knowledge base and will inform future efforts to further improve stormwater control and treatment at various spatial and temporal scales.",None,None,None
Coupling human preferences with biophysical processes: modeling the effect of citizen attitudes on potential urban stormwater runoff,"Sun N., Hall M.",Urban Ecosystems,2016-12-01,0,"Copyright, 2013, Springer Science+Business Media New York. Green infrastructure (GI) is gaining wide popularity as a means to reduce urban stormwater runoff. The challenges to long-term success of many GI policies, however, depend on citizen understanding and willingness to be engaged in the process of GI implementation. In this study, we developed a conceptual model that incorporated human preferences and biophysical processes in a coupled manner to estimate stormwater runoff variation at the sewershed scale under different acceptable GI implementation scenarios. To investigate resident receptivity toward GI implementation, we conducted surveys in selected Syracuse sewersheds and developed the scenario of residents implementing rain barrels and rain gardens in their private properties based on the survey results. We simulated this scenario at the lot level using the model we developed within the framework of the EPA SWMM 5 model to estimate reductions in peak flow and total runoff volume for major storm events. With our model, we also tested the effect of planned government tree planting scenarios. The scenario simulations were applied in three urban sewersheds of varying socio-economic and biophysical structures in the City of Syracuse, New York. The simulation results indicated that both the “government participation” and “household participation” scenarios, compared to pre-GI-development conditions, would contribute to a modest reduction in stormwater peak flow (&gt;4 %) and total runoff volume (&gt;5 %) across the simulated sewersheds. This study provides decision makers with a scientific methodology to quantify how human decisions can shape ecosystem function, and thus support sustainable stormwater management planning while addressing citizen preferences and needs.",None,None,None
Suitability of reclaimed asphalt pavement and recycled crushed brick as filter media in bioretention applications,"Rahman M.A., Imteaz M.A., Arulrajah A.",International Journal of Environment and Sustainable Development,2016-01-01,0,"Copyright, yright © 2016 Inderscience Enterprises Ltd. Bioretention systems are increasingly being used in urban stormwater management systems, whereas quarry materials are used as filter media; however the use of quarry materials in this application reduces valuable natural resources. Such a novel approach of using recycled waste materials would significantly conserve valuable natural resources. A series of laboratory tests included particle size distribution, organic content, pH, specific gravity, flakiness index and hydraulic conductivity. Among the pollutants, total suspended solid (TSS), total phosphorus (TP) and total nitrogen (TN) were selected. A model for bioretention system was simulated to investigate the effectiveness of reclaimed asphalt material (RAP) and crushed brick (CB) materials in trapping selected pollutants. In terms of physical and chemical properties, RAP and CB were found to meet the stringent requirements of various environmental protection authorities. This research further indicates that recycled waste materials can be reused viably as alternative materials in bioretention systems.", Such a novel approach of using recycled waste materials would significantly conserve valuable natural resources,None,None
Hybrid green infrastructure for reducing demands on urban water and energy systems: a New York City hypothetical case study,"Cherrier J., Klein Y., Link H., Pillich J., Yonzan N.",Journal of Environmental Studies and Sciences,2016-03-01,0,"Copyright, 2016, AESS. Green infrastructure shows promise as a “best management practice” for controlling stormwater runoff, particularly in older cities with combined sewer systems. Green infrastructure systems have been used to both mitigate pollutant loading to adjacent waterways as well as to reduce burdens on municipal wastewater and stormwater collection and treatment systems during storm events. Although the electric and water/wastewater networks are closely linked, wastewater, water supply, and energy systems have been typically studied in isolation. Here, we present a hypothetical case study for applying a modular hybrid green infrastructure approach to manage stormwater in the Newtown Creek sewershed in New York City. We provide background information on current and projected stormwater flows to the Newtown Creek Wastewater Treatment Plant (WWTP) and evaluate how interception and storage rainwater in the Newtown Creek sewershed could offset inflows to the WWTP and how this offset of stormwater inflows might result in reduced electric grid burdens and cost savings for the city. Our assessment indicates that a 0.66 % conversion of impervious sewershed surface area to modular hybrid green infrastructure could reduce stormwater inflow volumes (i.e., for an annual median storm) to the Newtown Creek WWTP by 10 %. We estimate that this would result in a 14-MWh reduction in energy required for wastewater treatment per storm event. Collectively, our results suggest that implementation of modular hybrid green infrastructure can significantly reduce burdens on urban water and energy systems, thereby helping to mitigate water-energy nexus challenges associated with climate change and population growth."," Collectively, our results suggest that implementation of modular hybrid green infrastructure can significantly reduce burdens on urban water and energy systems, thereby helping to mitigate water-energy nexus challenges associated with climate change and population growth",None," Collectively, our results suggest that implementation of modular hybrid green infrastructure can significantly reduce burdens on urban water and energy systems, thereby helping to mitigate water-energy nexus challenges associated with climate change and population growth"
"The use of PCSWMM for assessing the impacts of land use changes on hydrological responses and performance of WSUD in managing the impacts at myponga catchment, South Australia","Akhter M.S., Hewa G.A.",Water (Switzerland),2016-11-04,0,"Copyright, 2016 by the authors; licensee MDPI, Basel, Switzerland. Personal Computer Stormwater Management Model (PCSWMM) was applied to investigate: (1) hydrological responses in the Myponga catchment as a result of land use changes; and (2) the possibility of adopting Water Sensitive Urban Design (WSUD) technologies (bio-retention cells) to manage resulting floods. Calibrated and validated models predicted the measured data with satisfactory accuracy and reliability. Different urbanization scenarios were tested. When the level of urbanization increased from 10% to 70%, mean discharge increased from 45% to 322%. Frequency of flood at 2-year Average Recurrence Interval (ARI) increased from 1 to 44 and frequency of floods at 100-year ARI increased from none to 8. At 70% urbanisation, trialled bio-retention facilities used as WSUD measures almost completely ameliorated 2-year ARI floods by reducing the frequency of such events from 44 to 2. Floods at smaller ARIs (2, 5, 10 and 20 years) were effectively managed by WSUD measures while floods at 50- and 100-year ARIs remained unchanged. The overall results improve understanding of the severity of the impacts of land use changes on the hydrology of a catchment and the ability of bio-retention cells to alleviate the risk of small to medium floods in the Myponga catchment.",None,None,None
Household response to environmental incentives for rain garden adoption,"Newburn D.A., Alberini A.",Water Resources Research,2016-02-01,0,"Copyright, 2016. American Geophysical Union. All Rights Reserved. A decentralized approach to encourage the voluntary adoption of household stormwater management practices is increasingly needed to mitigate urban runoff and to comply with more stringent water quality regulations. We analyze the household response to a hypothetical rebate program to incentivize rain garden adoption using household survey data from the Baltimore-Washington corridor. We asked respondents whether the household would adopt a rain garden without a rebate or when offered a randomly assigned rebate. An interval-data model is used to estimate household demand on the willingness to pay (WTP) for a rain garden as a function of demographic factors, gardening activities, environmental attitudes, and other household characteristics. Estimation results indicate that mean WTP for a rain garden in our sample population is approximately 6.72 per square foot, corresponding to almost three-fourths of the installation cost. The expected adoption rate more than tripled when comparing no rebate versus a government rebate set at one-third of the installation cost, indicating that economic incentives matter. There is substantial heterogeneity in the WTP among households. Higher levels of WTP are estimated for households with higher environmental concern for the Chesapeake Bay and local streams, garden experience, higher income, and non-senior citizen adults. We conclude that a cost-share rebate approach is likely to significantly affect household adoption decisions, and the partial contributions paid by households can assist with lowering the substantial compliance costs for local governments to meet water quality requirements."," We conclude that a cost-share rebate approach is likely to significantly affect household adoption decisions, and the partial contributions paid by households can assist with lowering the substantial compliance costs for local governments to meet water quality requirements"," We conclude that a cost-share rebate approach is likely to significantly affect household adoption decisions, and the partial contributions paid by households can assist with lowering the substantial compliance costs for local governments to meet water quality requirements",None
"Life cycle assessment of low impact development technologies combined with conventional centralized water systems for the City of Atlanta, Georgia","Jeong H., Broesicke O.A., Drew B., Li D., Crittenden J.C.",Frontiers of Environmental Science and Engineering,2016-12-01,0,"Copyright, 2016, Higher Education Press and Springer-Verlag Berlin Heidelberg. Low-impact development (LID) technologies, such as bioretention areas, rooftop rainwater harvesting, and xeriscaping can control stormwater runoff, supply non-potable water, and landscape open space. This study examines a hybrid system (HS) that combines LID technologies with a centralized water system to lessen the burden on a conventional system (CS). CS is defined as the stormwater collection and water supply infrastructure, and the conventional landscaping choices in the City of Atlanta. The study scope is limited to five single-family residential zones (SFZs), classified R-1 through R-5, and four multi-family residential zones (MFZs), classified RG-2 through RG-5. Population density increases from 0.4 (R-1) to 62.2 (RG-5) persons per 1,000 m2. We performed a life cycle assessment (LCA) comparison of CS and HS using TRACI 2.1 to simulate impacts on the ecosystem, human health, and natural resources.We quantified the impact of freshwater consumption using the freshwater ecosystem impact (FEI) indicator. Test results indicate that HS has a higher LCA single score than CS in zones with a low population density; however, the difference becomes negligible as population density increases. Incorporating LID in SFZs and MFZs can reduce potable water use by an average of 50% and 25%, respectively; however, water savings are negligible in zones with high population density (i.e., RG-5) due to the diminished surface area per capita available for LID technologies. The results demonstrate that LID technologies effectively reduce outdoor water demand and therefore would be a good choice to decrease the water consumption impact in the City of Atlanta.[Figure not available: see fulltext.]",None,None,None
Use of rain gardens for stormwater management in urban design and planning,"Ishimatsu K., Ito K., Mitani Y., Tanaka Y., Sugahara T., Naka Y.",Landscape and Ecological Engineering,2016-09-19,0,"Copyright, 2016 International Consortium of Landscape and Ecological Engineering and Springer Japan Ecosystem services in urban areas have deteriorated year on year due to increased urbanization. As a consequence of increased urbanization, floods threaten inhabitants of various cities in Japan. Although a conventional way of treating urban flooding is to construct sewage systems, alternative approaches have to be developed because of their expense in the context of the current financial crisis, especially in local governments. Rain gardens, a type of low-impact development, have recently been recommended as a best management practice for the treatment of stormwater runoff in Northern European countries, the USA, etc. While demand for rain gardens has been increasing in Japan, there is a lack of knowledge about their functions and characteristics. The present study aims to explain the function of rain gardens through a verification experiment and field survey. This study shows that rain gardens are suitable for dealing with low flow volumes of rainwater, although their suitability could be slightly changed by soil properties and catchment area. Our field survey indicated that rain gardens must be connected to a sewage system. In addition, like other green infrastructure, rain gardens require maintenance. The most frequent type of maintenance is the disposal of garbage, as garbage can block channels running between a rain garden and a conventional sewage system. Moreover, garbage build up can lead to the retention of rain water for more than 36 h, and this water can become a habitat for mosquito larvae.",None,None,None
An efficiency booster for energy conversion in natural circulation loops,"Wang D., Jiang J.",Nuclear Engineering and Design,2016-08-01,0,"Copyright, 2016 Elsevier B.V. All rights reserved. In this paper, the capacity of a natural circulation loop for transferring heat from a heat source to a heat sink has been analyzed. It is concluded that the capacity of the natural circulation loop depends on the conversion efficiency of the thermal energy from the heat source to the driving force for the circulation of the flow. The low conversion efficiency leading to weak driving force in such loops has been demonstrated analytically and validated through simulation results. This issue has resulted in a low heat transfer capacity in the circulation loop. To increase the heat transfer capacity, one has to improve this efficiency. To meet such a need, a novel efficiency booster has been developed in this paper. The booster essentially increases the flow driving force and hence significantly improves the overall heat transfer capacity. Design and analysis of this booster have been performed in detail. The performance has been examined through extensive computer simulations. It is concluded that the booster can indeed drastically improve the heat transfer capacity of the natural circulation loop.", The booster essentially increases the flow driving force and hence significantly improves the overall heat transfer capacity, It is concluded that the capacity of the natural circulation loop depends on the conversion efficiency of the thermal energy from the heat source to the driving force for the circulation of the flow,None
Redox dynamics and oxygen reduction rates of infiltrating urban stormwater beneath low impact development (LID),"Danfoura M.N., Gurdak J.J.",Water (Switzerland),2016-10-04,0,"Copyright, 2016 by the authors. Low impact development (LID) best management practices (BMPs) collect, infiltrate, and treat stormwater runoff, and increase recharge to aquifers. Understanding the controls on reduction/oxidation (redox) conditions within LID BMPs is important for groundwater management because outflow from some LID BMPs can recharge aquifers and affect groundwater quality. Here we evaluate redox conditions of urban stormwater runoff in a LID infiltration trench in San Francisco, California, and quantify the relation between water saturation (%) and temperature (°C) and resulting dissolved oxygen (DO) concentrations, redox dynamics, and O2 reduction rates. The DO fluctuations have an inverse response to the duration of saturation of the trench. Anoxic (&lt; 0.5 mg/L) conditions often occurred within hours of stormwater events and persisted from a few hours to two days, which indicate that microbial respiration can be a limiting factor for DO. Temperature of stormwater runoff was not a statistically significant control on DO. The estimated O2 reduction rate is 0.003 mg·L-1·min-1, which is two to five orders of magnitude higher than in groundwater from previous studies. Higher rates of O2 reduction are a function of the more oxic and organic-rich stormwater runoff that drives faster microbial O2 reduction. Our findings have important implications for the design of infiltration trenches and other LID BMPs to achieve desired redox conditions for infiltrating stormwater toward minimizing groundwater contamination.", Temperature of stormwater runoff was not a statistically significant control on DO,None,None
Nitrogen-cycling process rates across urban ecosystems,"Reisinger A.J., Groffman P.M., Rosi-Marshall E.J.",FEMS Microbiology Ecology,2016-01-01,0,"Copyright, FEMS 2016. Nitrogen (N) pollution of freshwater, estuarine and marine ecosystems is widespread and has numerous environmental and economic impacts. A portion of this excess N comes from urban watersheds comprised of natural and engineered ecosystems that can alter downstream N export. Studies of urban N cycling have focused on either specific ecosystems or on watershed-scale mass balances. Comparisons of specific N transformations across ecosystems are required to contextualize rates from individual studies. Here we reviewed urban N cycling in terrestrial, aquatic and engineered ecosystems, and compared N processing in these urban ecosystem types to native reference ecosystems. We found that net N mineralization and net nitrification rates were enhanced in urban forests and riparian zones relative to reference ecosystems. Denitrification was highly variable across urban ecosystem types, but no significant differences were found between urban and reference denitrification rates. When focusing on urban streams, ammonium uptake was more rapid than nitrate uptake in urban streams. Additionally, reduction of stormwater runoff coupled with potential decreases in N concentration suggests that green infrastructure may reduce downstream N export. Despite multiple environmental stressors in urban environments, ecosystems within urban watersheds can process and transform N at rates similar to or higher than reference ecosystems."," Denitrification was highly variable across urban ecosystem types, but no significant differences were found between urban and reference denitrification rates",None," Additionally, reduction of stormwater runoff coupled with potential decreases in N concentration suggests that green infrastructure may reduce downstream N export"
Rainwater harvesting at the department of public works,"Obropta C.C., Bakacs M.E., Rector P.",Journal of Extension,2016-01-01,0,"Copyright, by Extension Journal, Inc. As part of an urban Extension initiative that focuses on reducing storm water runoff from impervious surfaces, Rutgers Cooperative Extension installed 5,000-gal cisterns at the Department of Public Works (DPW) facilities in Clark Township and the Township of Parsippany-Troy Hills, New Jersey, to harvest rainwater from the rooftops of the garages at these facilities. This project intercepts rooftop runoff before it can carry nonpoint source pollutants from the land surrounding the DPW garages. The harvested rainwater is used to fill street sweepers, wash municipal vehicles, and supply water for a ""green car wash"" to support volunteer groups.",None,None,None
Hydrological regulation performances of LID practices based on different rainfall reappearance periods,"Sun Y., Pomeroy C.A., Lu S., Xu C.",Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery,2016-06-25,0,"Copyright, 2016, Chinese Society of Agricultural Machinery. All right reserved. Urbanization caused hydrological change and increased stormwater runoff volumes, which led to flooding, erosion and the degradation of instream ecosystem health. Low impact development (LID) options had been proposed as an alternative approach to mimic the natural flow regime by using decentralized designs to control stormwater runoff at the source, rather than at a centralized location in the watershed. Hydrological regulation performances of these LID practices can be influenced by rainfall characteristics, such as rainfall intensity and duration. To evaluate the impacts of different rainfall reappearance periods, rainfall analysis was conducted to determine the rainfall characteristics and SCS II type was selected for the analysis. A modeling approach based on SWMM was described to incorporate these LID practices into an existing hydrological model to estimate the impacts of LID practices on the surface runoff. Results demonstrated that the LID practices led to significant stormwater control for different rainfall reappearance periods. Hydrological regulation performances of the LID practices were varied with rainfall reappearance periods. For LID practices with the same surface area, the detention pond performed the best in reducing peak flow rate, which was followed by infiltration trench, bioretention cell and porous pavement. Detention pond was capable to reduce the peak flow rate of 100-year storm to the value of 10-year storm, indicating significant performances. Differences in peak flow reduction were due to structure differences in the LID practices. For the infiltration regulation performances, infiltration trench had the highest recharge ratio for all the rainfall reappearance periods, followed by bioretention cell and porous pavement. Porous pavement, though made of 100% pervious material, infiltrated small runoff which was limited by the native soil infiltration rate when the rainfall volume exceeded the storage capacity. Deep analysis was conducted to determine the reasons that the LID practices performed differently when they had the same surface area. Results showed that the ""effective storage"", which was the water volume that a facility can contain, was the crucial factor. When rainfall intensity was larger than native soil infiltration rate, the excessive water was stored in the facility, and then it was released or infiltrated to the groundwater, depending on the facility structure. Consequently, the water exceeded the ""effective storage"" was flowed over the LID practices and made contribution to the surface runoff directly. Calculation results showed that the ""effective storage"" for the detention pond was 1861.20 m3, which was the largest among the four LID practices, and it explained the reason that detention pond worked the best in peak flow reduction. The ""effective storage"" for the infiltration trench, porous pavement and bioretention cell were 744.48 m3, 80.37 m3 and 565.14 m3, respectively.", Results demonstrated that the LID practices led to significant stormwater control for different rainfall reappearance periods,None,None
Laboratory study of infiltration into two frozen engineered (sandy) soils recommended for bioretention,"Moghadas S., Gustafsson A.-M., Viklander P., Marsalek J., Viklander M.",Hydrological Processes,2016-04-15,0,"Copyright, 2016 John Wiley &amp; Sons, Ltd. Infiltration of water into two frozen engineered soils of different gradation was studied in laboratory soil columns 1.2m long and 0.1m in diameter. Prior to testing, the soil moisture was adjusted to two levels, described by the gravimetric water content of 5% or 10%, and soils were compacted to about 80-90% of the maximum dry density and refrigerated to temperatures ranging from -8 to -2°C. Water with temperatures 8-9°C was thereafter fed on the top of columns at a constant head, and the times of water breakthrough in the column and reaching a steady percolation rate, as well as the percolation rate, were recorded. The soil water content was a critical factor affecting the thawing process; during freezing, soil moisture was converted into ice, which blocked pores, and its melting required high amounts of energy supplied by infiltrating water. Hence, the thawing of soils with higher initial water content was much slower than in lower moisture soils, and water breakthrough and the attainment of steady percolation required much longer times in higher moisture soils. Heat transfer between infiltrating water, soil ice, and frozen soil particles was well described by the energy budget equations, which constitute a parsimonious model of the observed processes. The finer grained soil and more compacted soil columns exhibited reduced porosity and required longer times for soil thawing. Practical implications of study results for design of bioretention facilities (BFs) in cold climate include the use of coarse engineered soils and fitting bioretention facilities with a drain facilitating soil drainage before the onset of freezing weather.",None,None,None
An applied research in the rural landscape of rainwater collection system based on the concept of LID,Wang X.,"Proceedings - 2015 International Conference on Intelligent Transportation, Big Data and Smart City, ICITBS 2015",2016-01-14,0,"Copyright, 2016 IEEE. The target of villages rainwater harvesting is to trap impermeable pavement and prevent rainwater runoff, and rainwater accumulated is mainly used for domestic miscellaneous water, environmental and ecological water. Low Impact Development (LID) is an analog of natural stormwater management. The rainwater collection system, which is based on the concept of LID stormwater control, is easy to operate and inexpensive. According to the characteristics of village rainwater harvesting, towns rainwater collection system will be divided into five parts: roof rainwater harvesting, courtyard rainwater harvesting, street rainwater harvesting, green rainwater harvesting and landscape rainwater storage pond. We summarize the principles of rainwater collection systems in towns and villages landscape applications: low-impact, low-maintenance, low-cost; design with nature, design to life; the overall planning, collaborative implementation. Provide reference for the ecological and circular village rainwater resource utilization.",None,None,None
Evaluation of the capability of low-impact development practices for the removal of heavy metal from urban stormwater runoff,"Maniquiz-Redillas M.C., Kim L.-H.",Environmental Technology (United Kingdom),2016-09-16,0,"Copyright, 2016 Taylor &amp; Francis. ABSTRACT: Low-impact development (LID) and green infrastructure (GI) have recently become well-known methods to capture, collect, retain, and remove pollutants in stormwater runoff. The research was conducted to assess the efficiency of LID/GI systems applied in removing the particulate and dissolved heavy metals (Zn, Pb, Cu, Ni, Cr, Cd, and Fe) from urban stormwater runoff. A total of 82 storm events were monitored over a four-year period (2010–2014) on six LID/GI systems including infiltration trenches, tree box filter, rain garden, and hybrid constructed wetlands employed for the management of road, parking lot, and roof runoff. It was observed that the heavy metal concentration increased proportionally with the total suspended solids concentration. Among the heavy metal constituents, Fe appeared to be highly particulate-bound and was the easiest to remove followed by Zn and Pb; while metals such as Cr, Ni, Cu, and Cd were mostly dissolved and more difficult to remove. The mass fraction ratios of metal constituents at the effluent were increased relative to the influent. All the systems performed well in the removal of particulate-bound metals and were more efficient for larger storms greater than 15 mm wherein more particulate-bound metals were generated compared to smaller storms less than 5 mm that produced more dissolved metals. The efficiency of the systems in removing the particulate-bound metals was restricted during high average/peak flows; that is, high-intensity storms events and when heavy metals have low concentration levels.",None,None,None
Performance of Elaeis Guineensis Leaves Compost in Filter Media for Stormwater Treament Through Column Study,"Takaijudin H., Ghani A.A., Zakaria N.A., Tze L.L.",IOP Conference Series: Materials Science and Engineering,2016-07-22,0,"Copyright, Published under licence by IOP Publishing Ltd. Compost based materials arv e widely used in filter media for improving soil capability and plant growth. The aim of this paper is to evaluate different types of compost materials used in engineered soil media through soil column investigation. Three (3) column, namely C1 (control), C2 and C3 had different types compost (10%) which were, commercial compost namely PEATGRO, Compost A and Compost B were prepared with 60% medium sand and 30% of topsoil. The diluted stormwater runoff was flushed to the columns and it was run for six (6) hour experiment. The influent and effluent samples were collected and tested for Water Quality Index (WQI) parameters. The results deduced that C3 with Elaeis Guineensis leaves compost (Compost B) achieved 90.45 (Class II) better than control condition which accomplished 84 (Class II) based on WQI Classification. C3 with Compost A (African Mahogany Leaves Compost) obtained only 59.39 (Class III). C3 with the composition of Compost B effectively removed most pollutants, including Chemical Oxygen Demand (COD, Ammoniacal Nitrogen (NH3-N), were reduced by 89±4% and 96.6±0.9%, respectively. The result concluded that Elaeis Guineensis leaves compost is recommended to be used as part of engineered soil media due to its capabilities in eliminating stormwater pollutants.",None, The result concluded that Elaeis Guineensis leaves compost is recommended to be used as part of engineered soil media due to its capabilities in eliminating stormwater pollutants,None
Sustainable urban stormwater management in the tropics: An evaluation of Singapore's ABC Waters Program,"Lim H.S., Lu X.X.",Journal of Hydrology,2016-07-01,0,"Copyright, 2016 Elsevier B.V. The Active Beautiful Clean (ABC) Waters Program was implemented in 2006 as part of Singapore's stormwater management strategy and reflects the country's move towards Water Sensitive Urbanism through the adoption of Low-Impact Development (LID) ideology and practices. It is the first holistic and comprehensive LID program in the tropics and holds promise for extension to other tropical cities. This paper presents a comprehensive summary of the goals, LID practices (ABC design features) and design considerations as well as results of several monitored sites, including a constructed wetland, two rain gardens, green roofs and three canal restoration projects. We evaluate the ABC Waters Program based on these initial results and consider the challenges, issues and the research needs for it to meet its hydrological and water quality remediation goals. So far, the ABC design features evaluated perform well in removing particulates. Performance in nutrient removal is poor. With over 60 projects completed within 10 years, post-project monitoring and evaluation is necessary and complements on-going laboratory and modelling research projects conducted by local academic institutions.",None,None,None
Wet grain delivery advice: A previously impossible extension challenge solved through app technology,"Dvorak J., McNeill S., Hardy C.",Journal of Extension,2016-04-01,0,"Copyright, by Extension Journal, Inc. The delivery of wet grain during harvest is a complex and constantly changing problem about which Extension professionals have been unable to offer more than general advice. By capitalizing on important characteristics of mobile devices, a new app enables producers to fully benefit from detailed information universities have generated on grain drying and costs associated with delivery of grain to different locales. Development of such an app demonstrates the power of apps and mobile devices in allowing Extension to deliver previously unattainable services to its clientele."," By capitalizing on important characteristics of mobile devices, a new app enables producers to fully benefit from detailed information universities have generated on grain drying and costs associated with delivery of grain to different locales",None,None
Construction of the urban water environmental pollution control system based on the ecological ideas of water sensitive urban design,"Wang X.F., Liu H., Yuan X.Z., Ren H.Q., Yue J.S., Xiong S.",Shengtai Xuebao/ Acta Ecologica Sinica,2016-01-01,0,"Copyright, 2015, Ecological Society of China. All rights reserved.For the first time in history, the majority of the world’s population is located in urban areas. This milestone marks a critical turning point that will dramatically affect land and water environments. Increasingly, our cities need to be designed for adaptability and resilience to the impacts of population growth, urban densification, and increase in impervious areas, on the urban water environment. The water sensitive urban design (WSUD) has evolved from its early association with stormwater management to provide a broader framework for sustainable design and urban water management. It provides a common and unified method for integrating the interactions between the urban built form and the urban water cycle environment. This paper presents an overview of theory meaning, key principles, and technical architecture of WSUD, and at the same time, ecological ideas of WSUD has been summarized combined with the traditional ecological wisdom, which comprises the “all things together”theory, the idea of “daofaziran”(following nature’s lead), “design with nature”, and the idea of “ecological systems”. WSUD technologies include green roofs, rain gardens, bioswales, soakaways, wet basins, dry basins, etc. However, to date, few studies have been conducted on the classification of all of the current technologies. In this paper, the WSUD technologies are categorized into three types according to the functions of different technologies: Water Balance, Water Quality, and Water Conservation. For the development of the WSUD worldwide, especially in China, which faces a more serious challenge because of rapid urbanization, further studies on creating technical architecture and summarizing ecological ideas are required. Kaixian Country located in the Three Gorges Reservoir area has become a representative water-sensitive urban area because of the water level control, splitting urbanization speed, and accompanying potential water environment crisis. In order to explore an fitting ecological restoration model to overcome the contradiction between high-speed urbanization and water environment security, this paper employs Kaixian as the example to design the urban water environmental pollution control system, based on the understanding of the ecological ideas of WSUD and the application of the WSUD technology. The whole design was divided into three parts: source control, process control, and receiving water control. The source control mainly used the green roof-ecological wall-rain garden system to decrease the source of pollutants; the process control was divided into four belts: recreation belt, ecological slope belt, landscape dick- pond belt, and natural drawdown belt, different WSUD strategies were implemented for every belt and some possible solutions were proposed for the contaminated urban water bodies. This design includes multi-stripe and multi-function modes that consider not only the physical elements of a place that provide the functional value, but also those elements that create a congenial atmosphere by enhancing the ‘sense of place’ (psychological value). The “multi-tape mode” will provide a good example of controlling water pollution for other urban areas located in the TGR region.", The water sensitive urban design (WSUD) has evolved from its early association with stormwater management to provide a broader framework for sustainable design and urban water management,None,None
